input_latitude,input_longitude,ll_uuid,parcel_address,parcel_city,parcel_state,parcel_zip,county,usecode,usedesc,zoning,zoning_description,zoning_type,zoning_subtype,structstyle,numunits,numstories,yearbuilt,sqft,acres,parcel_centroid_lat,parcel_centroid_lon,home_id,fema_flood_zone,fema_zone_subtype,fema_sfha,fema_static_bfe,fema_study_type,fema_zone_desc,fema_api_status,crime_burglary_residence,crime_arson,crime_robbery,crime_burglary_other,crime_theft_motor_vehicle,crime_theft_other,crime_vandalism,crime_other_property,crime_total,crime_insurance_score,hail_events_5yr,hail_max_size_in,hail_avg_size_in,hail_severe_events,hail_extreme_events,hail_damage_total_usd,tornado_events_5yr,tornado_damage_usd,tornado_max_fscale,wind_events_5yr,wind_max_mph,wind_damage_usd,flash_flood_events_5yr,flash_flood_damage_usd,storm_risk_score
32.785541,-96.633334,c104ea69-2130-4d0a-80fd-da40e2eb7ff9,2600 NORTH PARKWAY BLVD,MESQUITE,TX,75149-1215,dallas,2,COMMERCIAL IMPROVEMENTS,R-3,Single Family Residential,Residential,Single Family,GOVERNMENTAL BUILDING,0.0,1.0,1970.0,,,32.786192,-96.633583,274,AE,,T,-9999.0,NP,"High risk – 1% annual chance flood, BFE determined",ok,0,0,0,0,0,0,0,0,0,0.0,12,1.75,1.15,2,0,17000.0,1,10000.0,0,5,65.0,100000.0,4,501020000.0,32.5
32.921044,-96.720628,64a633c0-2360-4a38-bc32-f91e0647877f,9725 BURNEY DR,DALLAS,TX,75243-2306,dallas,1,SINGLE FAMILY RESIDENCES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,18,,1.0,1978.0,,,32.921039,-96.72059,275,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,3,4,0,22,0,0,29,29.6,19,2.25,1.21,6,2,183000.0,2,400050000.0,2,8,67.0,18500.0,5,100000.0,75.0
32.714095,-96.883517,b8b9e45c-15b9-4aed-9cad-6541b2b137ef,2900 COOMBS CREEK DR,DALLAS,TX,75233-1210,dallas,2,RURAL VACANT - LESS THAN 5 ACRES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,LAND ONLY,0.0,,,,,32.71239,-96.884029,276,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,1,0,0,9,0,0,10,9.2,9,2.0,1.22,3,2,300000.0,0,0.0,0,7,56.0,5000.0,2,90000.0,35.5
32.706418,-96.784388,7cb2aa6d-61ad-4668-8462-e16b2b0d61dd,2546 JENNINGS AVE,DALLAS,TX,75216-5814,dallas,1,SINGLE FAMILY RESIDENCES,R-5(A,Single Family District 5000 Square Feet,Residential,Single Family,04,,1.0,1949.0,,,32.706341,-96.784266,277,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,1,1,7,0,19,0,0,28,31.7,7,2.0,1.14,2,1,155000.0,0,0.0,0,5,60.0,105000.0,1,15000.0,22.5
32.827173,-96.646649,876b27a5-0e98-4f78-af12-bfac3b95239e,3200 KARLA DR,MESQUITE,TX,75150-1721,dallas,2,COMMERCIAL - VACANT PLOTTED LOTS/TRACTS,R-3,Single Family Residential,Residential,Single Family,LAND ONLY,0.0,,,,,32.826747,-96.646428,278,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,8,1.75,1.09,1,0,7000.0,0,0.0,0,5,59.0,5000.0,2,1020000.0,17.5
32.79437,-96.899828,2a1ba5be-06aa-4a21-aff3-c80bc44d25fe,4838 MEXICANA RD,DALLAS,TX,75212-1001,dallas,1,SINGLE FAMILY RESIDENCES,R-5(A,Single Family District 5000 Square Feet,Residential,Single Family,16,,1.0,2003.0,,,32.794487,-96.899874,279,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,5,0,0,5,4.0,11,1.5,1.16,3,0,1000.0,1,0.0,1,4,66.0,25000.0,3,50000000.0,35.0
32.837045,-96.603808,4029f8c3-0570-4c68-8eb9-94ed0c1b89e6,1001 IH 30,MESQUITE,TX,75043,dallas,2,COMMERCIAL - VACANT PLOTTED LOTS/TRACTS,MF,Multifamily Residential,Residential,Multi Family,LAND ONLY,0.0,,,,,32.838088,-96.604411,280,AE,FLOODWAY,T,-9999.0,NP,"High risk – 1% annual chance flood, BFE determined",ok,0,0,0,0,0,0,0,0,0,0.0,8,1.75,1.09,1,0,7000.0,0,0.0,0,6,59.0,30000.0,1,20000.0,16.0
32.799515,-96.930225,22fda3a6-fa97-4d3f-98bd-e861ec646051,1415 BALLEYWOOD RD,IRVING,TX,75060-6211,dallas,1,SINGLE FAMILY RESIDENCES,R-6,Single Family Residential,Residential,Single Family,13,,1.0,1954.0,,,32.79945,-96.930313,281,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,11,1.5,1.16,2,0,0.0,2,1550000000.0,3,3,70.0,0.0,0,0.0,35.5
32.845044,-96.731499,6f0e09ad-df89-437a-9a21-3278acff05c3,4531 CATHEDRAL DR,DALLAS,TX,75214-1906,dallas,1,SINGLE FAMILY RESIDENCES,R-1/2AC(A,Single Family District 0.5 Acre,Residential,Single Family,15,,1.0,1974.0,,,32.845193,-96.731693,282,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,1,0,0,0,0,1,1.5,14,1.25,0.98,0,0,0.0,3,400052000.0,2,5,61.0,15000.0,4,300160000.0,42.5
32.846659,-96.702385,add73e06-8292-4cc9-b4cb-289e91283143,815 OVERGLEN DR,DALLAS,TX,75218-2253,dallas,1,SINGLE FAMILY RESIDENCES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,18,,1.0,1960.0,,,32.846698,-96.702186,283,AE,,T,-9999.0,NP,"High risk – 1% annual chance flood, BFE determined",ok,0,0,0,1,0,3,0,0,4,3.9,10,1.25,0.96,0,0,0.0,1,400000000.0,2,7,61.0,20000.0,2,160000.0,27.5
